NO,UPT,X,GARDU INDUK,JADWAL RENCANA,REALISASI,STATUS,JENIS ANOMALI,Status FIX,,,,
75,UPT SEMARANG,UPT SEMARANG,GI 150KV TANJUNG JATI,5/25/2026,5/25/2026,Close,TS - Mitigasi gangguan akibat binatang ,Close,,,,
76,UPT SEMARANG,UPT SEMARANG,GI 150KV JEKULO,5/25/2026,5/25/2026,Close,TS - Mitigasi gangguan akibat binatang ,Close,,,,
77,UPT SEMARANG,UPT SEMARANG,GI 150KV KUDUS,5/25/2026,5/25/2026,Close,TS - Mitigasi gangguan akibat binatang ,Close,,,,
78,UPT SEMARANG,UPT SEMARANG,GI 150KV BLORA,5/22/2026,5/22/2026,Close,TS - Mitigasi gangguan akibat binatang ,Close,,,,
79,UPT SEMARANG,UPT SEMARANG,GI 150KV CEPU,5/22/2026,5/22/2026,Close,TS - Mitigasi gangguan akibat binatang ,Close,,,,
80,UPT SEMARANG,UPT SEMARANG,GI 150KV PATI,5/11/2026,5/11/2026,Close,TS - Mitigasi gangguan akibat binatang ,Close,,,,
81,UPT SEMARANG,UPT SEMARANG,GI 150KV PLTU REMBANG (SLUKE),5/25/2026,5/25/2026,Close,TS - Mitigasi gangguan akibat binatang ,Close,,,,
82,UPT SEMARANG,UPT SEMARANG,GI 150KV SEMEN INDONESIA,5/11/2026,5/11/2026,Close,TS - Mitigasi gangguan akibat binatang ,Close,,,,
83,UPT SEMARANG,UPT SEMARANG,GI 150KV UNGARAN,5/25/2026,5/25/2026,Close,TS - Mitigasi gangguan akibat binatang ,Close,,,,
84,UPT SEMARANG,UPT SEMARANG,GIS 150KV PUDAKPAYUNG,5/19/2026,5/19/2026,Close,TS - Mitigasi gangguan akibat binatang ,Close,,,,
85,UPT SEMARANG,UPT SEMARANG,GITET 500KV UNGARAN,5/25/2026,5/25/2026,Close,TS - Mitigasi gangguan akibat binatang ,Close,,,,
86,UPT BANDUNG,BANDUNG,GITET 500KV BANDUNG SELATAN,2/28/2026,2/28/2026,Good,TS - AHI pada aset kritikal kategori Good,Close,,,,
87,UPT BANDUNG,BANDUNG,GITET 500KV BANDUNG SELATAN,2/28/2026,2/28/2026,Good,TS - AHI pada aset kritikal kategori Good,Close,,,,
88,UPT BANDUNG,BANDUNG,GI 150KV CIANJUR,6/30/2026,6/30/2026,Good,TS - AHI pada aset kritikal kategori Good,Close,,,,
89,UPT BANDUNG,BANDUNG,GI 150KV CIANJUR,,,Good,TS - AHI pada aset kritikal kategori Good,Close,,,,
90,UPT BANDUNG,BANDUNG,GI 150KV SUKALUYU,,,Good,TS - AHI pada aset kritikal kategori Good,Close,,,,
91,UPT BANDUNG,BANDUNG,GI 150KV SUKALUYU,,,Good,TS - AHI pada aset kritikal kategori Good,Close,,,,
92,UPT BANDUNG,BANDUNG,GI 150KV RAJAMANDALA,,,Good,TS - AHI pada aset kritikal kategori Good,Close,,,,
93,UPT BANDUNG,BANDUNG,GI 150KV CIGERELENG,,,Poor,TS - AHI pada aset kritikal kategori Good,Open,,,,
94,UPT BANDUNG,BANDUNG,GITET 500KV NEW UJUNGBERUNG,2/28/2026,2/28/2026,Good,TS - AHI pada aset kritikal kategori Good,Close,,,,
95,UPT BANDUNG,BANDUNG,GITET 500KV NEW UJUNGBERUNG,,,Good,TS - AHI pada aset kritikal kategori Good,Close,,,,
96,UPT BANDUNG,BANDUNG,GI 150KV BANDUNG SELATAN,,,Good,TS - AHI pada aset kritikal kategori Good,Close,,,,
97,UPT BANDUNG,BANDUNG,GI 150KV BANDUNG SELATAN,,,Good,TS - AHI pada aset kritikal kategori Good,Close,,,,
98,UPT BANDUNG,BANDUNG,GIS 150kV DAYEUHKOLOT,,,,TS - AHI pada aset kritikal kategori Good,Open,,,,
99,UPT BANDUNG,BANDUNG,GIS 150kV DAYEUHKOLOT,,,Good,TS - AHI pada aset kritikal kategori Good,Close,,,,
100,UPT BANDUNG,BANDUNG,GIS 150kV DAYEUHKOLOT,,,,TS - AHI pada aset kritikal kategori Good,Open,,,,
101,UPT BANDUNG,BANDUNG,GIS 150kV DAYEUHKOLOT,,,Good,TS - AHI pada aset kritikal kategori Good,Close,,,,
102,UPT BANDUNG,BANDUNG,GI 150KV CIGERELENG,,,Good,TS - AHI pada aset kritikal kategori Good,Close,,,,
103,UPT BANDUNG,BANDUNG,GI 150KV CIGERELENG,,,Fair,TS - AHI pada aset kritikal kategori Good,Open,,,,
104,UPT BANDUNG,BANDUNG,GI 150KV BANDUNG SELATAN,,,Fair,TS - AHI pada aset kritikal kategori Good,Open,,,,
105,UPT BANDUNG,BANDUNG,GI 150KV BANDUNG SELATAN,2/12/2026,2/12/2026,Good,TS - AHI pada aset kritikal kategori Good,Close,,,,
106,UPT BANDUNG,BANDUNG,GI 150KV WAYANG WINDU,,,Poor,TS - AHI pada aset kritikal kategori Good,Open,,,,
