NO,NAMAUPT,GARDU INDUK,BAY_PENGHANTAR,MERK,TIPE,TGL_OPRS,THN_BUAT,USIA,FASA,MERK BUSHING,TYPE BUSHING,NO SERI,JENIS BUSHING ,LEVEL MINYAK,HASIL THERMOVISI,KONDISI FISIK,Nilai Tadel,HASIL UJI TANDEL,KONDISI CENTER TAP,KETERANGAN,
51,UPT PURWOKERTO,GI 150KV GOMBONG,TRF#1 150/20kV,UNINDO,MPT,4-Jan-2016,2014,10,T,PASSONIVILLA,,,OIP,NORMAL,NORMAL,NORMAL,,GOOD,NORMAL,,
52,UPT PURWOKERTO,GI 150KV GOMBONG,TRF#2 150/22kV,HYUNDAI,RP-3046,3-Jan-1987,1986,39,R,,,,OIP,NORMAL,NORMAL,NORMAL,,GOOD,NORMAL,Trafo OFF,
53,UPT PURWOKERTO,GI 150KV GOMBONG,TRF#2 150/22kV,HYUNDAI,RP-3046,3-Jan-1987,1986,39,S,,,,OIP,NORMAL,NORMAL,NORMAL,,GOOD,NORMAL,Trafo OFF,
54,UPT PURWOKERTO,GI 150KV GOMBONG,TRF#2 150/22kV,HYUNDAI,RP-3046,3-Jan-1987,1986,39,T,,,,OIP,NORMAL,NORMAL,NORMAL,,GOOD,NORMAL,Trafo OFF,
55,UPT PURWOKERTO,GI 150KV GOMBONG,TRF#3 150/22KV,CG PAUWELS,ORF.60/275,26-Jul-2021,2021,5,R,,,,RIP,,,,,,,,
56,UPT PURWOKERTO,GI 150KV GOMBONG,TRF#3 150/22KV,CG PAUWELS,ORF.60/275,26-Jul-2021,2021,5,S,,,,RIP,,,,,,,,
57,UPT PURWOKERTO,GI 150KV GOMBONG,TRF#3 150/22KV,CG PAUWELS,ORF.60/275,26-Jul-2021,2021,5,T,,,,RIP,,,,,,,,
58,UPT PURWOKERTO,GI 150KV KALIBAKAL,TRF#4 150/20kV,UNINDO,N-RANGE,2-Mar-2009,2006,17,R,TRENCH,COT,07C3401,OIP,NORMAL,NORMAL,NORMAL,,GOOD,NORMAL,,
59,UPT PURWOKERTO,GI 150KV KALIBAKAL,TRF#4 150/20kV,UNINDO,N-RANGE,2-Mar-2009,2006,17,S,TRENCH,COT,07C3437,OIP,NORMAL,NORMAL,NORMAL,,GOOD,NORMAL,,
60,UPT PURWOKERTO,GI 150KV KALIBAKAL,TRF#4 150/20kV,UNINDO,N-RANGE,2-Mar-2009,2006,17,T,TRENCH,COT,07C3439,OIP,NORMAL,NORMAL,NORMAL,,GOOD,NORMAL,,
61,UPT PURWOKERTO,GI 150KV KALIBAKAL,TRF#3 150/20kV,UNINDO,TTHRV,2-Nov-2003,1996,22,R,ABB,GOB,202678,RIP,,,,,,,,
62,UPT PURWOKERTO,GI 150KV KALIBAKAL,TRF#3 150/20kV,UNINDO,TTHRV,2-Nov-2003,1996,22,S,ABB,GOB,202679,RIP,,,,,,,,
63,UPT PURWOKERTO,GI 150KV KALIBAKAL,TRF#3 150/20kV,UNINDO,TTHRV,2-Nov-2003,1996,22,T,ABB,GOB,202678,RIP,,,,,,,,
64,UPT PURWOKERTO,GI 150KV KALIBAKAL,TRF#2 150/30/20kV,B&D TRANSFORMER,PX-194-CO1B,27-Feb-2025,2024,1,R, HITACHI ,AirRIP RTKF,1ZCD00169492,RIP,,,,,,,,
65,UPT PURWOKERTO,GI 150KV KALIBAKAL,TRF#2 150/30/20kV,B&D TRANSFORMER,PX-194-CO1B,27-Feb-2025,2024,1,S, HITACHI ,AirRIP RTKF,1ZCD00169491,RIP,,,,,,,,
66,UPT PURWOKERTO,GI 150KV KALIBAKAL,TRF#2 150/30/20kV,B&D TRANSFORMER,PX-194-CO1B,27-Feb-2025,2024,1,T, HITACHI ,AirRIP RTKF,1ZCD00169493,RIP,,,,,,,,
67,UPT PURWOKERTO,GI 150KV KALIBAKAL,TRF#5 150/20kV,CG PAUWELS,ORF.60/275,19-Des-2016,2015,9,R,ABB,RTF,1ZCD11106278,RIP,,,,,,,,
68,UPT PURWOKERTO,GI 150KV KALIBAKAL,TRF#5 150/20kV,CG PAUWELS,ORF.60/275,19-Des-2016,2015,9,S,ABB,RTF,1ZCD11106277,RIP,,,,,,,,
69,UPT PURWOKERTO,GI 150KV KALIBAKAL,TRF#5 150/20kV,CG PAUWELS,ORF.60/275,19-Des-2016,2015,9,T,ABB,RTF,1ZCD11106279,RIP,,,,,,,,
70,UPT PURWOKERTO,GI 150KV KALIBAKAL,TRF#1 150/30/22kV,B&D TRANSFORMER,PX-043-COMB,26-Des-2019,2019,6,R,HSP,STARIP,270401,RIP,,,,,,,,
71,UPT PURWOKERTO,GI 150KV KALIBAKAL,TRF#1 150/30/22kV,B&D TRANSFORMER,PX-043-COMB,26-Des-2019,2019,6,S,HSP,STARIP,270399,RIP,,,,,,,,
72,UPT PURWOKERTO,GI 150KV KALIBAKAL,TRF#1 150/30/22kV,B&D TRANSFORMER,PX-043-COMB,26-Des-2019,2019,6,T,HSP,STARIP,270400,RIP,,,,,,,,
73,UPT PURWOKERTO,GI 150KV KEBASEN,TRF#3 150/20kV,PAUWELS TRAFO ASIA,ORF.60/275,11-Agu-2008,2007,17,R,TRENCH,COT,N/A,OIP,NORMAL,NORMAL,NORMAL,,GOOD,NORMAL,,
74,UPT PURWOKERTO,GI 150KV KEBASEN,TRF#3 150/20kV,PAUWELS TRAFO ASIA,ORF.60/275,11-Agu-2008,2007,17,S,TRENCH,COT,N/A,OIP,NORMAL,NORMAL,NORMAL,,GOOD,NORMAL,,
75,UPT PURWOKERTO,GI 150KV KEBASEN,TRF#3 150/20kV,PAUWELS TRAFO ASIA,ORF.60/275,11-Agu-2008,2007,17,T,TRENCH,COT,N/A,OIP,NORMAL,NORMAL,NORMAL,,GOOD,NORMAL,,
76,UPT PURWOKERTO,GI 150KV KEBASEN,TRF#4 150/20kV,CG PAUWELS,ORF.60/275,4-Jan-2010,2010,16,R,N/A,N/A,N/A,OIP,NORMAL,NORMAL,NORMAL,,GOOD,NORMAL,,
77,UPT PURWOKERTO,GI 150KV KEBASEN,TRF#4 150/20kV,CG PAUWELS,ORF.60/275,4-Jan-2010,2010,16,S,N/A,N/A,N/A,OIP,NORMAL,NORMAL,NORMAL,,GOOD,NORMAL,,
