TECHIDENTNO,MTU,ULTG,UPT,GARDU INDUK,BAY,FASA,TEG,MERK,TIPE,TAHUN BUAT,"USIA
(TAHUN)",JUNE,MAY,APRIL,Parameter Pemicu (evaluasi),RENCANA TINDAK LANJUT POWER INSPECT,Target Penyelesain,AHI SETELAH EVALUASI,PENEMPATAN,HARTRANS,KOORDINAT,KATEGORI USIA,AHI TERBARU
11316127427400000002,TRAFO,TEGAL,UPT PURWOKERTO,GI 150KV KEBASEN,TRF#3 150/20kV,RST,150,PAUWELS TRAFO ASIA,ORF.60/275,2007,19,4 - Poor,3 - Fair,2 - Good,"Hasil Uji DGA 15 Jan 2026 C2H6 703 - Critical
Hasil Tandel HV Fasa T Tgl 05 Feb 2025 0.51 - Poor","1. Laksanakan Filter untuk memperbaiki hasil uji DGA C2H6 Level 4
2. Untuk bushing kondisi POOR segera di tindaklanjuti dengan pengujian DFR dan buat BA Validasi gradasi suhu warna Bushing",30/11/2026,4 - Poor,,HARTRANS 2,"-6.911963,109.126776",Normal,4 - Poor
11316127427400000004,TRAFO,TEGAL,UPT PURWOKERTO,GI 150KV KEBASEN,TRF#4 150/20kV,RST,150,CG PAUWELS,ORF.60/275,2010,16,4 - Poor,4 - Poor,2 - Good,Berdasarkan hasil uji Dga 15 jan 2026 C2H6 474 (Poor),pemantauan DGA sms 2 2026,,4 - Poor,,HARTRANS 2,"-6.911963,109.126776",Normal,4 - Poor
11316127427400000006,TRAFO,TEGAL,UPT PURWOKERTO,GI 150KV KEBASEN,TRF#1 150/20kV,RST,150,UNINDO,MPT,2013,13,4 - Poor,4 - Poor,2 - Good,"Berdasarkan hartin 31 Jan 2025 hasil uji tahanan isolasi P-G IP 1,13 (poor) dan Core yoke 385 mohm",pemantauan hasil uji saat hartin 2027,19/07/1905,4 - Poor,,HARTRANS 2,"-6.911963,109.126776",Normal,4 - Poor
11351527427400000008,TRAFO,TEGAL,UPT PURWOKERTO,GI 150KV KEBASEN,TRF#2 150/22kV,RST,150,B&D TRANSFORMER,PX-001-FOHB,2017,9,4 - Poor,4 - Poor,2 - Good,"Hasil Uji hartin tgl 21 Feb 2024 IP Tahanan Isolasi S-G 1.14 - Poor, Tandel CLG 0,6 - good
DGA dan Karakteristik kondisi Good",Pengujian ulang Tahanan Isolasi dan Tandel CLG Semester 2 2026,30/11/2026,4 - Poor,,HARTRANS 2,"-6.911963,109.126776",Normal,4 - Poor
11316129329300000002,TRAFO,WONOSOBO,UPT PURWOKERTO,GI 150KV KEBUMEN,TRF#1 150/20kV,RST,150,XIAN,SFZ-30000/150,1995,31,3 - Fair,3 - Fair,2 - Good,,,,3 - Fair,,HARTRANS 2,"-7.735328,109.726588",Sangat Tua,3 - Fair
11316129329300000004,TRAFO,WONOSOBO,UPT PURWOKERTO,GI 150KV KEBUMEN,TRF#3 150/20kV,RST,150,CG PAUWELS,ORF.60/275,2014,12,4 - Poor,3 - Fair,2 - Good,"Hasil Uji hartin tgl 14 Feb 2025 IP Tahanan Isolasi S-G 1,31 - Fair
Hasil Uji DGA 19 Feb 2026, C2H4 243 - Poor",Trending pengujian DGA Semester 2 2026,,4 - Poor,,HARTRANS 2,"-7.735328,109.726588",Normal,4 - Poor
11351529329300000005,TRAFO,WONOSOBO,UPT PURWOKERTO,GI 150KV KEBUMEN,TRF#2 150/22kV,RST,150,XD SAKTI INDONESIA,SFZ-60000/150,2018,8,4 - Poor,4 - Poor,2 - Good,"Nilai Kapasitansi CHG, CLG dan CTG terdapat deviasi cukup tinggi dari hasil uji tahun 2026 dengan hasil uji tahun 2024 (dikhawatirkan metode uji tahun 2024 coreyoke grounded dan tahun 2026 coreyoke open)",Akan didiskusikan dengan pabrikan XD terkait metode pengujian tangen delta untuk core yoke perlu dilepas atau tidak,30/07/2026,4 - Poor,,HARTRANS 2,"-7.735328,109.726588",Normal,4 - Poor
11316135635600000001,TRAFO,PURWOKERTO,UPT PURWOKERTO,GI 150KV KESUGIHAN,TRF#1 150/20kV,RST,150,SHANDONG TAIKAI,SFZ11-60000/150,2012,14,5 - Critical,5 - Critical,2 - Good,"Hasil Uji Thn 2025, IP S-G 0,99 Critical, Yoke-Ground 2,2 - Poor, Tandel Bushing N Primer 1,95",Uji lengkap smstr 2 2026,30/10/2026,5 - Critical,,HARTRANS 2,"-7.580911,109.133993",Normal,5 - Critical
11351535635600000163,TRAFO,PURWOKERTO,UPT PURWOKERTO,GI 150KV KESUGIHAN,TRF#2 150/22kV,RST,150,CG PAUWELS,ORF.60/275,2017,9,2 - Good,3 - Fair,2 - Good,,,,2 - Good,,HARTRANS 2,"-7.580911,109.133993",Normal,2 - Good
11316128428400000004,TRAFO,PURWOKERTO,UPT PURWOKERTO,GI 150KV LOMANIS,TRF#1 150/30/20kV,RST,150,WESTINGHOUSE,SL,1975,51,3 - Fair,3 - Fair,2 - Good,"Berdasarkan hasil karakteristik minyak 2026, nilai IFT  24,6 (fair),  BDV 45,7 (Fair), Hasil uji hartin 2025 aman tidak ada isu",,,3 - Fair,,HARTRANS 2,"-7.694102,109.004588",Sangat Tua,3 - Fair
11351528428400000004,TRAFO,PURWOKERTO,UPT PURWOKERTO,GI 150KV LOMANIS,TRF#3 150/22kV,RST,150,B&D TRANSFORMER,PX-340-FO1B,2025,1,1 - Very Good,#N/A,#N/A,-,Trafo Baru,,1 - Very Good,,HARTRANS 2,"-7.694102,109.004588",Normal,1 - Very Good
11351528428400000006,TRAFO,PURWOKERTO,UPT PURWOKERTO,GI 150KV LOMANIS,TRF#2 150/20kV,RST,150,UNINDO,MPT,2015,11,4 - Poor,4 - Poor,2 - Good,"Hasil Uji IP Tahanan Isolasi  5 Sept 2024 1,25 - Poor (S-G), Tandel Bushing 0,26 - Good.  Hasil uji minyak 2026 aman",Trending pengujian tahanan isolasi S-G di hartin semester 2 2026,30/09/2026,4 - Poor,,HARTRANS 2,"-7.694102,109.004588",Normal,4 - Poor
11316128328300000001,TRAFO,PURWOKERTO,UPT PURWOKERTO,GI 150KV MAJENANG,TRF#2 150/20KV,RST,150,PAUWELS TRAFO ASIA,ORF.30/275,2000,26,4 - Poor,4 - Poor,3 - Fair,"Hasil Uji DGA Feb 2026 880 (C2H6)- Critical, Tahanan Isolasi Baik",Laksanakan Filter untuk memperbaiki hasil uji DGA C2H6 Level 4,30/12/2026,4 - Poor,,HARTRANS 2,"-7.310648,108.786659",Tua,4 - Poor
11316128328300000002,TRAFO,PURWOKERTO,UPT PURWOKERTO,GI 150KV MAJENANG,TRF#1 150/22KV,RST,150,UNINDO,TTUB150/60000,1987,39,5 - Critical,5 - Critical,2 - Good,"Tahanan Isolasi - Good (Tidak ada pengujian Tertier), IFT 12,7 Kadar asam 0,69 - Critical","Rencana penggantian Trafo tahun 2027 
Uji Furan 2026
Reklamasi",30/07/2026,5 - Critical,,HARTRANS 2,"-7.310648,108.786659",Sangat Tua,5 - Critical
